au_1_left, au_1_right, au_2_left, au_2_right, au_4_left, au_4_right, au_5, au_6, au_7, au_10, au_12_left, au_12_right, au_25, au_26, au_45_left, au_45_rightframe,,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.191868,0.191868,0.111923,0.111923,0.287801,0.287801,0.319779,0.319779,0,0.0319779,0.207856,0.207856,0.015989,0.15989,0,0,6,frame.00006.jpg,0.003519678,0.822601736,0.01053266,0.000232752,0.000762236,0.09011885,0.001146148,0.07108594
0.493147,0.493147,0.287669,0.287669,0.739721,0.739721,0.821912,0.821912,0,0.0821912,0.534243,0.534243,0.0410956,0.410956,0,0,7,frame.00007.jpg,0.02255458,0.6329315,0.019410452,0.00202954,0.004459898,0.09376869,0.00945392,0.215391427
0.599761,0.599761,0.34986,0.34986,0.899641,0.899641,0.999601,0.999601,0,0.0999601,0.649741,0.649741,0.0499801,0.499801,0,0,8,frame.00008.jpg,0.077058494,0.645911157,0.022782216,0.005357532,0.008471864,0.151156411,0.023200812,0.06606152
0.6,0.6,0.35,0.35,0.9,0.9,1,1,0,0.1,0.65,0.65,0.05,0.5,0,0,9,frame.00009.jpg,0.011358986,0.8456313,0.01525027,0.000714237,0.002222297,0.045740798,0.002332077,0.07675001
0.6,0.6,0.35,0.35,0.9,0.9,1,1,0,0.1,0.65,0.65,0.05,0.5,0,0,10,frame.00010.jpg,0.011358986,0.8456313,0.01525027,0.000714237,0.002222297,0.045740798,0.002332077,0.07675001
0.6,0.6,0.35,0.35,0.9,0.9,1,1,0,0.1,0.65,0.65,0.05,0.5,0,0,11,frame.00011.jpg,0.011358986,0.8456313,0.01525027,0.000714237,0.002222297,0.045740798,0.002332077,0.07675001
0.6,0.6,0.35,0.35,0.9,0.9,1,1,0,0.1,0.65,0.65,0.05,0.5,0,0,12,frame.00012.jpg,0.011358986,0.8456313,0.01525027,0.000714237,0.002222297,0.045740798,0.002332077,0.07675001
0.551307,0.551307,0.321596,0.321596,0.826961,0.826961,0.918846,0.918846,0,0.0918846,0.59725,0.59725,0.0459423,0.459423,0,0,13,frame.00013.jpg,0.06170178,0.7275383,0.015983807,0.00459463,0.007297542,0.08333904,0.021529537,0.078015395
0.711103,0.711103,0.119185,0.119185,0.627285,0.627285,0.252189,0.187098,0.0976378,0.0154552,0.263188,0.263188,0.658646,0.402735,0.618372,0.618372,14,frame.00014.jpg,0.162141234,0.796634734,0.015973033,0.00081616,0.001413342,0.000675077,0.000202317,0.02214409
0.921443,0.921443,0.096994,0.096994,0.727455,0.727455,0.145491,0.048497,0.145491,0,0.242485,0.242485,0.96994,0.48497,0.921443,0.921443,15,frame.00015.jpg,0.39379704,0.5766942,0.011906245,0.000941075,0.00111059,0.000607501,0.00044069,0.01450268
0.95,0.95,0.1,0.1,0.75,0.75,0.15,0.05,0.15,0,0.25,0.25,1,0.5,0.95,0.95,16,frame.00016.jpg,0.463197261,0.488881677,0.014473126,0.005043807,0.005304073,0.002497987,0.002903528,0.017698549
