au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frame.00000.jpg,0.000999846,0.774194539,0.008719815,0.00010523,0.000536247,0.176480651,0.001141219,0.037822466
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,frame.00001.jpg,0.000999846,0.774194539,0.008719815,0.00010523,0.000536247,0.176480651,0.001141219,0.037822466
0.191513,0.191513,0.355666,0.355666,0.136795,0.136795,0.547179,0.0547179,0.027359,0,0.465102,0.465102,0.0547179,0.492461,0.0820769,0.0820769,2,frame.00002.jpg,0.00181621,0.8403589,0.013530516,0.000214557,0.00061207,0.02632748,0.000224114,0.11691615
0.347557,0.347557,0.645463,0.645463,0.248255,0.248255,0.99302,0.099302,0.049651,0,0.844067,0.844067,0.099302,0.893718,0.148953,0.148953,3,frame.00003.jpg,0.000962602,0.6000171,0.01091843,0.000265844,0.000744904,0.160509586,0.000622088,0.22595945
0.35,0.35,0.65,0.65,0.25,0.25,1,0.1,0.05,0,0.85,0.85,0.1,0.9,0.15,0.15,4,frame.00004.jpg,0.001666106,0.575103939,0.009452314,0.000278165,0.000820164,0.07927961,0.000784369,0.332615346
0.35,0.35,0.65,0.65,0.25,0.25,1,0.1,0.05,0,0.85,0.85,0.1,0.9,0.15,0.15,5,frame.00005.jpg,0.001666106,0.575103939,0.009452314,0.000278165,0.000820164,0.07927961,0.000784369,0.332615346
0.35,0.35,0.65,0.65,0.25,0.25,1,0.1,0.05,0,0.85,0.85,0.1,0.9,0.15,0.15,6,frame.00006.jpg,0.001666106,0.575103939,0.009452314,0.000278165,0.000820164,0.07927961,0.000784369,0.332615346
0.35,0.35,0.65,0.65,0.25,0.25,1,0.1,0.05,0,0.85,0.85,0.1,0.9,0.15,0.15,7,frame.00007.jpg,0.001666106,0.575103939,0.009452314,0.000278165,0.000820164,0.07927961,0.000784369,0.332615346
0.207029,0.207029,0.366995,0.366995,0.327121,0.327121,0.53322,0.053322,0.0368618,0.173414,0.565446,0.565446,0.0737237,0.663513,0.100385,0.100385,8,frame.00008.jpg,0.001851993,0.709250033,0.011722005,0.000267961,0.000854201,0.1690423,0.001165146,0.105846338
0.0987059,0.0987059,0.0987059,0.0987059,0.937706,0.937706,0,0,0.049353,0.839,0.542882,0.542882,0.0987059,0.888353,0.0987059,0.0987059,9,frame.00009.jpg,0.003449144,0.9166977,0.016039314,0.001098241,0.005204969,0.021429554,0.000552092,0.035529025
