au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.132088,0.0417121,0.0625681,0.0834242,0.0903762,0.020856,0.0834242,0.0834242,0.0417121,0.0764721,0.0486641,0.00695201,0.020856,0.0764721,0.020856,0.00695201,3,frame.00003.jpg,0.001229561,0.8250415,0.007292514,9.02E-05,0.000485592,0.134734809,0.00097381,0.030152094
0.752626,0.237671,0.356507,0.475342,0.514954,0.118836,0.475342,0.475342,0.237671,0.435731,0.277283,0.0396119,0.118836,0.435731,0.118836,0.0396119,4,frame.00004.jpg,0.008993045,0.903762043,0.015674893,0.000784711,0.002520079,0.013925793,0.000546809,0.053792626
0.947639,0.299255,0.448882,0.598509,0.648385,0.149627,0.598509,0.598509,0.299255,0.548633,0.34913,0.0498757,0.149627,0.548633,0.149627,0.0498757,5,frame.00005.jpg,0.032808058,0.9006897,0.016142264,0.000619988,0.00220246,0.001487403,0.000231761,0.045818333
0.95,0.3,0.45,0.6,0.65,0.15,0.6,0.6,0.3,0.55,0.35,0.05,0.15,0.55,0.15,0.05,6,frame.00006.jpg,0.016133467,0.920546,0.015365795,0.000453128,0.001440917,0.001862924,0.000148823,0.04404896
0.949492,0.299839,0.449759,0.599679,0.649652,0.14992,0.599679,0.599679,0.299839,0.549706,0.349813,0.0499732,0.14992,0.549706,0.14992,0.0499732,7,frame.00007.jpg,0.005036402,0.954043865,0.011172118,0.000113001,0.000599216,0.000506492,3.21E-05,0.028496834
0.719652,0.227259,0.340888,0.454517,0.492394,0.113629,0.454517,0.454517,0.227259,0.416641,0.265135,0.0378764,0.113629,0.416641,0.113629,0.0378764,8,frame.00008.jpg,0.018156953,0.896303236,0.012961509,0.000390825,0.00129165,0.002105443,0.000214104,0.068576254
0.34239,0.684781,0.770378,0.427988,0.0427988,0.684781,0.34239,0.34239,0.0855976,0.556384,0.128396,0.470787,0.0427988,0.855976,0.0855976,0.641982,9,frame.00009.jpg,0.016283684,0.925836,0.015147449,0.001037163,0.002461091,0.006603322,0.000464004,0.03216725
0.4,0.8,0.9,0.5,0.05,0.8,0.4,0.4,0.1,0.65,0.15,0.55,0.05,1,0.1,0.75,10,frame.00010.jpg,0.030468179,0.8701789,0.011620301,0.002934079,0.008448074,0.052137863,0.004797294,0.019415334
0.4,0.8,0.9,0.5,0.05,0.8,0.4,0.4,0.1,0.65,0.15,0.55,0.05,1,0.1,0.75,11,frame.00011.jpg,0.030468179,0.8701789,0.011620301,0.002934079,0.008448074,0.052137863,0.004797294,0.019415334
0.4,0.8,0.9,0.5,0.05,0.8,0.4,0.4,0.1,0.65,0.15,0.55,0.05,1,0.1,0.75,12,frame.00012.jpg,0.030468179,0.8701789,0.011620301,0.002934079,0.008448074,0.052137863,0.004797294,0.019415334
0.4,0.8,0.9,0.5,0.05,0.8,0.4,0.4,0.1,0.65,0.15,0.55,0.05,1,0.1,0.75,13,frame.00013.jpg,0.030468179,0.8701789,0.011620301,0.002934079,0.008448074,0.052137863,0.004797294,0.019415334
0.545774,0.723589,0.632248,0.314258,0.182114,0.513327,0.458165,0.545774,0.259097,0.545207,0.283514,0.56646,0.0244171,0.698604,0.346706,0.699172,14,frame.00014.jpg,0.027759157,0.9150002,0.018937143,0.000533785,0.001533194,0.000907112,0.000123797,0.035205636
0.85394,0.822736,0.488274,0.18228,0.380716,0.316938,0.643192,0.85394,0.508534,0.565733,0.509902,0.731596,0.00136811,0.53316,0.719283,0.821367,15,frame.00015.jpg,0.026190255,0.8740086,0.020148864,0.000297138,0.0008365,0.000260309,4.00E-05,0.078218296
1,0.95,0.55,0.2,0.45,0.35,0.75,1,0.6,0.65,0.6,0.85,0,0.6,0.85,0.95,16,frame.00016.jpg,0.03601898,0.846559942,0.019772265,0.000463858,0.001127622,0.00032576,6.41E-05,0.09566748
